Tên nhóm hàng,Tên NPP,KM GPS có hàng,Thời gian vận chuyển (giờ)
"Sugarcane Drinking Water, Juice, Coconut Cooking Cream",LIÊN HIỆP HỢP TÁC XÃ THƯƠNG MẠI TP.HCM,36.7567936,5150.933333333333
"Sugarcane Drinking Water, RE Sugar, Juice, Coconut Cooking Cream","LIÊN HIỆP HỢP TÁC XÃ THƯƠNG MẠI TP.HCM, CHI NHÁNH CÔNG TY TNHH HÙNG ÁNH DƯƠNG - HỦ TIẾU MỰC ÔNG GIÀ CA LI",67.27781244,5150.983333333334
RS Sugar,CÔNG TY CỔ PHẦN VINACAFÉ BIÊN HÒA,430.78754,729.7
RE Sugar,CÔNG TY TNHH RED BULL (VIỆT NAM),142.5482128,736.0166666666667
RS Sugar,CÔNG TY TNHH MỘT THÀNH VIÊN CÔNG NGHIỆP MASAN,620.4710795,1470.9833333333333
"RS Sugar, Brown Sugar, RE Sugar","CÔNG TY CỔ PHẦN THỰC PHẨM CJ CẦU TRE- CHI NHÁNH LONG AN, CÔNG TY TNHH THỰC PHẨM NGON NHƯ Ý, CÔNG TY CỔ PHẦN THỰC PHẨM CÁT HẢI",109.7208687,734.0166666666667
RS Sugar,CÔNG TY CỔ PHẦN THỰC PHẨM ĐÔNG LẠNH KIDO,431.8062918,1474.65
RS Sugar,CÔNG TY CỔ PHẦN SỮA ĐÀ LẠT,260.4338214,729.95
"Brown Sugar, Functional Sugar",,17.10640765,17.216666666666665
RE Sugar,CÔNG TY TNHH NESTLE VIỆT NAM,1016.12651,2198.383333333333
RE Sugar,CÔNG TY CỔ PHẦN THỰC PHẨM CHOLIMEX,59.74907469,736.0
RE Sugar,,5878.044422,1954.85
RE Sugar,CHI NHÁNH CÔNG TY TNHH NƯỚC GIẢI KHÁT SUNTORY PEPSICO VIỆT NAM TẠI TỈNH BẮC NINH,2094.340791,1665.1166666666666
RE Sugar,CHI NHÁNH CÔNG TY TNHH NƯỚC GIẢI KHÁT SUNTORY PEPSICO VIỆT NAM TẠI TỈNH BẮC NINH,12.24330579,1.0
RE Sugar,CHI NHÁNH CÔNG TY TNHH NƯỚC GIẢI KHÁT SUNTORY PEPSICO VIỆT NAM TẠI TỈNH BẮC NINH,12.24330579,1.0
RE Sugar,CÔNG TY TRÁCH NHIỆM HỮU HẠN MỘT THÀNH VIÊN SUẤT ĂN HÀNG KHÔNG VIỆT NAM,46.61108794,4.233333333333333
"RE Sugar, RS Sugar, Monorock, Brown Sugar, Juice, Diet Sugar, Natural Rock, Invert Syrup, Organic Sugar, Functional Sugar, Plant-based Milk","CHI NHÁNH BÌNH DƯƠNG - CÔNG TY CỔ PHẦN DỊCH VỤ THƯƠNG MẠI TỔNG HỢP WINCOMMERCE, CÔNG TY TNHH DỊCH VỤ EB",43.20646217,6.883333333333334
